FDA-1 V0.0_scaled_2.2-wing04_DPv1_TOLD_Full_UAV_v3.1_body

Right Surface Points
        x()          y()          z()
        0.550          0.093          0.171
        0.550          0.110          0.164
        0.550          0.124          0.156
        0.550          0.136          0.146
        0.550          0.146          0.136
        0.550          0.155          0.125
        0.550          0.161          0.113
        0.550          0.167          0.101
        0.550          0.171          0.088
        0.550          0.174          0.074
        0.550          0.176          0.060
        0.550          0.177          0.046
        0.550          0.177          0.031
        0.550          0.178          0.016
        0.550          0.178          0.001
        0.550          0.178         -0.014
        0.550          0.178         -0.029
        0.550          0.177         -0.043
        0.550          0.176         -0.058
        0.550          0.174         -0.072
        0.550          0.171         -0.085
        0.550          0.167         -0.099
        0.550          0.161         -0.111
        0.550          0.155         -0.123
        0.550          0.146         -0.134
        0.550          0.136         -0.144
        0.550          0.124         -0.153
        0.550          0.110         -0.161
        0.550          0.093         -0.168
        0.550          0.074         -0.174
        0.550          0.052         -0.179
        0.550          0.028         -0.182
        0.550          0.000         -0.183

  Cross Section  21
        0.587          0.000          0.186
        0.587          0.028          0.184
        0.587          0.052          0.181
        0.587          0.074          0.177
        0.587          0.093          0.171
        0.587          0.110          0.164
        0.587          0.124          0.156
        0.587          0.136          0.146
        0.587          0.147          0.136
        0.587          0.155          0.125
        0.587          0.162          0.113
        0.587          0.167          0.101
        0.587          0.171          0.088
        0.587          0.174          0.074
        0.587          0.176          0.060
        0.587          0.177          0.045
        0.587          0.178          0.030
        0.587          0.178          0.016
        0.587          0.178          0.001
        0.587          0.178         -0.015
        0.587          0.178         -0.029
        0.587          0.177         -0.044
        0.587          0.176         -0.059
        0.587          0.174         -0.073
        0.587          0.171         -0.087
        0.587          0.167         -0.100
        0.587          0.162         -0.112
        0.587          0.155         -0.124
        0.587          0.147         -0.135
        0.587          0.137         -0.145
        0.587          0.124         -0.155
        0.587          0.110         -0.163
        0.587          0.093         -0.170
        0.587          0.074         -0.176
        0.587          0.052         -0.180
        0.587          0.028         -0.183
        0.587          0.000         -0.185

  Cross Section  22
        0.632          0.000          0.186
        0.632          0.028          0.184
        0.632          0.052          0.181
        0.632          0.074          0.177
        0.632          0.093          0.171
        0.632          0.110          0.164
        0.632          0.124          0.156
        0.632          0.137          0.146
        0.632          0.147          0.136
        0.632          0.155          0.125
        0.632          0.162          0.113
        0.632          0.167          0.101
        0.632          0.171          0.087
        0.632          0.174          0.074
        0.632          0.176          0.059
        0.632          0.177          0.045
        0.632          0.178          0.030
        0.632          0.178          0.015
        0.632          0.178          0.000
        0.632          0.178         -0.015
        0.632          0.178         -0.030
        0.632          0.177         -0.045
        0.632          0.176         -0.059
        0.632          0.174         -0.073
        0.632          0.171         -0.087
        0.632          0.167         -0.100
        0.632          0.162         -0.113
        0.632          0.155         -0.125
        0.632          0.147         -0.136
        0.632          0.137         -0.146
        0.632          0.124         -0.155
        0.632          0.110         -0.164
        0.632          0.093         -0.171
        0.632          0.074         -0.176
        0.632          0.052         -0.181
        0.632          0.028         -0.184
        0.632          0.000         -0.186

  Cross Section  23
        0.685          0.000          0.186
        0.685          0.028          0.184
        0.685          0.052          0.181
        0.685          0.074          0.177
        0.685          0.093          0.171
        0.685          0.110          0.164
        0.685          0.124          0.156
        0.685          0.137          0.146
        0.685          0.147          0.136
        0.685          0.155          0.125
        0.685          0.162          0.113
        0.685          0.167          0.101
        0.685          0.171          0.087
        0.685          0.174          0.074
        0.685          0.176          0.059
        0.685          0.177          0.045
        0.685          0.178          0.030
        0.685          0.178          0.015
        0.685          0.178          0.000
        0.685          0.178         -0.015
        0.685          0.178         -0.030
        0.685          0.177         -0.045
        0.685          0.176         -0.059
        0.685          0.174         -0.074
        0.685          0.171         -0.087
        0.685          0.167         -0.101
        0.685          0.162         -0.113
        0.685          0.155         -0.125
        0.685          0.147         -0.136
        0.685          0.137         -0.146
        0.685          0.124         -0.156
        0.685          0.110         -0.164
        0.685          0.094         -0.171
        0.685          0.074         -0.177
        0.685          0.052         -0.181
        0.685          0.028         -0.184
        0.685          0.000         -0.186

  Cross Section  24
        0.748          0.000          0.186
        0.748          0.028          0.184
        0.747          0.052          0.181
        0.747          0.074          0.177
        0.747          0.093          0.171
        0.747          0.110          0.164
        0.747          0.124          0.156
        0.747          0.137          0.146
        0.748          0.147          0.136
        0.748          0.155          0.125
        0.748          0.162          0.113
        0.748          0.167          0.101
        0.748          0.171          0.087
        0.748          0.174          0.074
        0.748          0.176          0.059
        0.747          0.177          0.045
        0.748          0.178          0.030
        0.748          0.178          0.015
        0.748          0.178         -0.000
        0.748          0.178         -0.015
        0.748          0.178         -0.030
        0.747          0.177         -0.045
        0.747          0.176         -0.059
        0.748          0.174         -0.074
        0.748          0.171         -0.087
        0.748          0.167         -0.101
        0.748          0.162         -0.113
        0.748          0.155         -0.125
        0.748          0.147         -0.136
        0.748          0.137         -0.146
        0.748          0.124         -0.156
        0.748          0.110         -0.164
        0.748          0.094         -0.171
        0.747          0.074         -0.177
        0.748          0.052         -0.181
        0.748          0.028         -0.184
        0.748          0.000         -0.186

  Cross Section  25
        0.821          0.000          0.186
        0.821          0.028          0.184
        0.821          0.052          0.181
        0.821          0.074          0.177
        0.821          0.093          0.171
        0.821          0.110          0.164
        0.821          0.124          0.156
        0.821          0.137          0.146
        0.821          0.147          0.136
        0.821          0.155          0.125
        0.821          0.162          0.113
        0.821          0.167          0.101
        0.821          0.171          0.087
        0.821          0.174          0.074
        0.821          0.176          0.059
        0.821          0.177          0.045
        0.821          0.178          0.030
        0.821          0.178          0.015
        0.821          0.178         -0.000
        0.821          0.178         -0.015
        0.821          0.178         -0.030
        0.821          0.177         -0.045
        0.821          0.176         -0.059
        0.821          0.174         -0.074
        0.821          0.171         -0.087
        0.821          0.167         -0.101
        0.821          0.162         -0.113
        0.821          0.155         -0.125
        0.821          0.147         -0.136
        0.821          0.137         -0.146
        0.821          0.124         -0.156
        0.821          0.110         -0.164
        0.821          0.094         -0.171
        0.821          0.074         -0.177
        0.821          0.052         -0.181
        0.821          0.028         -0.184
        0.821          0.000         -0.186

  Cross Section  26
        0.903          0.000          0.186
        0.903          0.028          0.184
        0.903          0.052          0.181
        0.903          0.074          0.177
        0.903          0.093          0.171
        0.903          0.110          0.164
        0.903          0.124          0.156
        0.903          0.137          0.146
        0.903          0.147          0.136
        0.903          0.155          0.125
        0.903          0.162          0.113
        0.903          0.167          0.101
        0.903          0.171          0.087
        0.903          0.174          0.074
        0.903          0.176          0.059
        0.903          0.177          0.045
        0.903          0.178          0.030
        0.903          0.178          0.015
        0.903          0.178         -0.000
        0.903          0.178         -0.015
        0.903          0.178         -0.030
        0.903          0.177         -0.045
        0.903          0.176         -0.059
        0.903          0.174         -0.074
        0.903          0.171         -0.087
        0.903          0.167         -0.101
        0.903          0.162         -0.113
        0.903          0.155         -0.125
        0.903          0.147         -0.136
        0.903          0.137         -0.146
        0.903          0.124         -0.156
        0.903          0.110         -0.164
        0.903          0.094         -0.171
        0.903          0.074         -0.177
        0.903          0.052         -0.181
        0.903          0.028         -0.184
        0.903          0.000         -0.186

  Cross Section  27
        0.994          0.000          0.186
        0.994          0.028          0.184
        0.994          0.052          0.181
        0.994          0.074          0.177
        0.994          0.093          0.171
        0.994          0.110          0.164
        0.994          0.124          0.156
        0.994          0.137          0.146
        0.994          0.147          0.136
        0.994          0.155          0.125
        0.994          0.162          0.113
        0.994          0.167          0.101
        0.994          0.171          0.087
        0.994          0.174          0.074
        0.994          0.176          0.059
        0.994          0.177          0.045
        0.994          0.178          0.030
        0.994          0.178          0.015
        0.994          0.178         -0.000
        0.994          0.178         -0.015
        0.994          0.178         -0.030
        0.994          0.177         -0.045
        0.994          0.176         -0.059
        0.994          0.174         -0.074
        0.994          0.171         -0.087
        0.994          0.167         -0.101
        0.994          0.162         -0.113
        0.994          0.155         -0.125
        0.994          0.147         -0.136
        0.994          0.137         -0.146
        0.994          0.124         -0.156
        0.994          0.110         -0.164
        0.994          0.094         -0.171
        0.994          0.074         -0.177
        0.994          0.052         -0.181
        0.994          0.028         -0.184
        0.994          0.000         -0.186

  Cross Section  28
        1.090          0.000          0.186
        1.090          0.028          0.184
        1.090          0.052          0.181
        1.090          0.074          0.177
        1.090          0.093          0.171
